age,job,education,balance,housing,loan,pdays,previous,poutcome,duration,y
34,self-employed,tertiary,462,no,no,-1,0,unknown,1877,yes
24,unemployed,secondary,119,no,no,-1,0,unknown,51,no
45,technician,secondary,586,no,yes,-1,0,unknown,32,no
32,blue-collar,secondary,228,no,no,288,3,failure,176,no
77,retired,tertiary,4659,no,no,-1,0,unknown,161,yes
41,blue-collar,primary,168,yes,no,-1,0,unknown,187,no
37,blue-collar,primary,0,yes,no,-1,0,unknown,24,no
43,blue-collar,unknown,-715,yes,no,-1,0,unknown,67,no
48,admin.,unknown,0,yes,no,168,2,failure,85,no
27,technician,secondary,769,yes,no,-1,0,unknown,317,no
33,management,tertiary,0,no,no,-1,0,unknown,236,no
29,admin.,secondary,428,yes,yes,345,2,failure,54,no
34,management,tertiary,0,no,no,-1,0,unknown,71,no
52,management,tertiary,-970,yes,no,-1,0,unknown,489,yes
60,management,unknown,6313,no,no,-1,0,unknown,39,no
32,management,tertiary,948,no,no,-1,0,unknown,204,no
32,management,tertiary,0,yes,no,-1,0,unknown,455,no
56,services,unknown,1877,yes,no,-1,0,unknown,86,no
31,management,tertiary,874,yes,no,-1,0,unknown,190,no
42,admin.,secondary,323,yes,yes,-1,0,unknown,280,no
35,management,tertiary,106,no,yes,-1,0,unknown,588,no
56,retired,primary,1906,no,yes,-1,0,unknown,45,no
48,technician,secondary,1152,yes,no,-1,0,unknown,168,no
46,admin.,secondary,179,yes,no,436,1,other,194,no
37,technician,unknown,391,yes,no,-1,0,unknown,103,no
41,entrepreneur,unknown,89,yes,no,-1,0,unknown,333,no
36,management,tertiary,442,yes,yes,-1,0,unknown,102,no
45,unemployed,primary,-249,yes,yes,-1,0,unknown,92,no
55,entrepreneur,secondary,8104,no,no,-1,0,unknown,213,no
39,technician,secondary,501,no,no,-1,0,unknown,289,no
35,technician,secondary,308,no,no,-1,0,unknown,77,no
55,admin.,secondary,602,no,no,90,2,success,324,yes
55,technician,secondary,273,yes,no,183,3,failure,84,no
27,self-employed,secondary,50,no,no,-1,0,unknown,168,no
34,technician,secondary,1641,yes,no,-1,0,unknown,380,no
34,blue-collar,tertiary,20,no,no,-1,0,unknown,10,no
25,admin.,secondary,4590,yes,no,-1,0,unknown,199,no
41,admin.,secondary,-256,no,yes,-1,0,unknown,35,no
43,services,secondary,978,yes,yes,-1,0,unknown,82,no
28,management,tertiary,80,no,no,146,2,failure,676,yes
31,admin.,secondary,2104,yes,no,-1,0,unknown,455,no
78,housemaid,secondary,499,no,no,-1,0,unknown,80,no
45,blue-collar,secondary,1269,yes,no,-1,0,unknown,549,no
48,technician,tertiary,310,no,no,-1,0,unknown,135,no
32,blue-collar,secondary,1143,yes,yes,-1,0,unknown,412,no
42,technician,secondary,2980,no,no,-1,0,unknown,101,no
37,management,tertiary,37,no,no,-1,0,unknown,253,no
40,admin.,secondary,462,yes,yes,335,4,other,272,no
32,admin.,secondary,1031,yes,no,-1,0,unknown,84,no
42,management,tertiary,9009,no,no,-1,0,unknown,135,no
43,admin.,secondary,-465,yes,yes,-1,0,unknown,166,no
44,admin.,secondary,5181,yes,yes,-1,0,unknown,18,no
37,admin.,secondary,176,yes,no,347,1,failure,147,no
37,unknown,unknown,1699,no,no,-1,0,unknown,63,no
37,admin.,tertiary,0,yes,no,119,1,failure,65,no
28,technician,tertiary,172,yes,yes,-1,0,unknown,194,no
32,services,secondary,0,no,yes,-1,0,unknown,333,no
34,admin.,secondary,6979,yes,no,-1,0,unknown,14,no
40,admin.,secondary,6,no,no,-1,0,unknown,140,no
34,services,secondary,-62,yes,no,-1,0,unknown,109,no
34,self-employed,tertiary,1972,yes,no,-1,0,unknown,61,no
34,admin.,tertiary,899,yes,no,7,4,success,377,no
37,services,secondary,21,yes,no,271,2,other,96,no
36,technician,secondary,23,yes,no,347,1,failure,152,no
56,retired,secondary,-1206,yes,no,-1,0,unknown,382,yes
49,blue-collar,primary,0,yes,yes,-1,0,unknown,97,no
33,self-employed,secondary,215,yes,no,-1,0,unknown,543,no
30,management,tertiary,1372,no,no,-1,0,unknown,240,no
36,services,secondary,1981,no,no,-1,0,unknown,48,no
23,student,secondary,9216,no,no,-1,0,unknown,471,no
57,retired,secondary,39,yes,no,-1,0,unknown,354,no
27,blue-collar,secondary,5563,yes,no,-1,0,unknown,435,no
38,services,secondary,1,no,yes,-1,0,unknown,152,no
42,technician,tertiary,782,no,no,-1,0,unknown,285,no
75,retired,secondary,3771,no,no,181,2,success,185,yes
34,technician,tertiary,992,yes,no,88,2,success,301,no
48,technician,secondary,1526,no,no,-1,0,unknown,273,no
35,technician,tertiary,2658,yes,no,141,3,failure,768,yes
39,management,tertiary,1315,yes,no,126,1,failure,1337,no
29,blue-collar,tertiary,455,no,no,-1,0,unknown,403,yes
45,technician,tertiary,0,yes,no,-1,0,unknown,139,no
42,technician,secondary,2030,yes,yes,-1,0,unknown,196,no
29,technician,secondary,1599,yes,no,61,1,failure,115,no
38,services,secondary,-196,yes,no,271,1,failure,60,no
56,retired,secondary,1333,no,no,-1,0,unknown,17,no
36,technician,secondary,9149,yes,no,-1,0,unknown,141,no
25,blue-collar,secondary,-350,yes,no,-1,0,unknown,95,no
38,technician,tertiary,432,yes,no,373,1,other,10,no
57,self-employed,secondary,11494,no,no,-1,0,unknown,198,no
31,management,tertiary,-253,no,no,-1,0,unknown,220,no
42,management,tertiary,372,yes,no,-1,0,unknown,654,yes
45,technician,secondary,1410,no,no,-1,0,unknown,71,no
30,blue-collar,secondary,975,yes,no,351,2,failure,256,no
49,blue-collar,primary,305,yes,yes,-1,0,unknown,834,no
49,services,secondary,400,no,no,-1,0,unknown,151,no
53,retired,tertiary,-22,yes,no,-1,0,unknown,20,no
37,technician,secondary,4030,yes,no,-1,0,unknown,178,no
49,blue-collar,primary,365,no,no,-1,0,unknown,59,no
41,self-employed,primary,204,no,no,-1,0,unknown,111,no
54,management,primary,1691,yes,no,-1,0,unknown,186,no
32,services,secondary,406,yes,no,-1,0,unknown,227,no
33,technician,secondary,-204,no,no,-1,0,unknown,297,no
33,technician,secondary,359,yes,no,242,1,other,210,no
36,blue-collar,primary,123,yes,no,-1,0,unknown,9,no
35,technician,tertiary,0,yes,yes,62,6,other,112,no
52,unknown,secondary,142,no,no,-1,0,unknown,112,no
40,entrepreneur,tertiary,3571,no,no,-1,0,unknown,222,no
44,technician,secondary,33,yes,no,351,10,failure,195,no
45,blue-collar,secondary,0,yes,no,91,5,success,768,no
30,student,secondary,3096,no,no,-1,0,unknown,123,no
48,technician,secondary,20,no,no,-1,0,unknown,145,no
33,blue-collar,secondary,3576,yes,no,308,2,other,124,no
57,technician,unknown,206,yes,no,-1,0,unknown,216,no
57,housemaid,primary,7082,no,no,-1,0,unknown,69,no
51,unemployed,tertiary,1634,yes,no,-1,0,unknown,168,no
34,admin.,secondary,1,yes,no,-1,0,unknown,483,no
50,self-employed,tertiary,4012,no,no,-1,0,unknown,690,no
44,management,tertiary,3762,no,no,-1,0,unknown,125,no
27,admin.,secondary,-247,yes,yes,-1,0,unknown,344,no
50,blue-collar,secondary,606,yes,no,-1,0,unknown,673,no
36,management,tertiary,0,yes,no,250,1,other,60,no
42,management,secondary,-189,yes,no,-1,0,unknown,247,no
32,unemployed,secondary,0,no,no,-1,0,unknown,123,no
42,management,tertiary,484,yes,no,-1,0,unknown,144,no
43,technician,secondary,0,no,yes,172,5,failure,9,no
31,management,tertiary,395,yes,no,-1,0,unknown,155,no
32,management,tertiary,2349,no,no,-1,0,unknown,134,no
55,blue-collar,primary,410,no,yes,-1,0,unknown,221,no
58,retired,primary,3401,yes,no,265,2,failure,84,no
46,blue-collar,primary,222,no,no,-1,0,unknown,71,no
55,blue-collar,secondary,989,yes,yes,-1,0,unknown,246,no
34,management,tertiary,415,no,yes,-1,0,unknown,361,no
28,unemployed,secondary,16,no,no,-1,0,unknown,119,no
42,technician,tertiary,7190,yes,no,-1,0,unknown,375,no
29,blue-collar,secondary,482,no,yes,-1,0,unknown,1097,yes
54,housemaid,secondary,209,yes,yes,-1,0,unknown,97,no
32,technician,secondary,0,no,no,-1,0,unknown,181,no
39,technician,tertiary,5803,no,no,-1,0,unknown,83,no
53,entrepreneur,tertiary,624,no,yes,-1,0,unknown,180,no
58,technician,tertiary,883,no,no,78,2,failure,543,no
40,self-employed,secondary,1516,yes,yes,-1,0,unknown,373,no
29,student,secondary,872,yes,no,-1,0,unknown,230,no
33,technician,tertiary,-988,yes,yes,-1,0,unknown,83,no
38,admin.,secondary,902,yes,no,-1,0,unknown,58,no
56,services,secondary,1007,no,no,-1,0,unknown,88,no
40,services,secondary,0,yes,no,28,3,failure,297,no
24,blue-collar,secondary,174,yes,yes,-1,0,unknown,487,yes
46,management,secondary,12186,no,no,-1,0,unknown,29,no
35,self-employed,secondary,524,yes,no,-1,0,unknown,484,no
35,blue-collar,tertiary,0,yes,no,-1,0,unknown,262,no
34,technician,secondary,4,yes,no,-1,0,unknown,644,no
35,housemaid,tertiary,11219,no,no,79,1,failure,699,no
38,technician,tertiary,0,no,no,-1,0,unknown,247,no
50,blue-collar,primary,5776,no,no,-1,0,unknown,49,no
51,blue-collar,primary,37,yes,no,-1,0,unknown,341,no
59,self-employed,tertiary,593,no,no,-1,0,unknown,64,no
32,blue-collar,secondary,1148,yes,no,-1,0,unknown,121,no
37,blue-collar,secondary,3561,yes,no,-1,0,unknown,98,no
42,admin.,secondary,63,no,no,-1,0,unknown,88,no
40,student,secondary,260,no,no,-1,0,unknown,197,no
28,technician,tertiary,2269,yes,no,-1,0,unknown,331,no
47,admin.,secondary,1060,yes,no,-1,0,unknown,83,no
27,self-employed,secondary,-220,yes,no,-1,0,unknown,138,no
41,management,tertiary,49,yes,no,-1,0,unknown,312,no
34,admin.,tertiary,69,no,yes,1,6,success,120,yes
50,blue-collar,primary,4108,yes,no,-1,0,unknown,526,yes
47,blue-collar,secondary,480,yes,no,-1,0,unknown,211,no
53,services,secondary,4994,no,no,-1,0,unknown,62,no
53,technician,secondary,0,yes,yes,-1,0,unknown,135,no
47,management,tertiary,3681,no,no,-1,0,unknown,101,no
49,entrepreneur,unknown,-701,yes,no,-1,0,unknown,988,yes
29,management,tertiary,451,no,no,-1,0,unknown,451,no
45,blue-collar,primary,-311,yes,no,-1,0,unknown,1030,yes
38,entrepreneur,secondary,593,yes,yes,-1,0,unknown,1484,yes
32,blue-collar,secondary,759,yes,no,-1,0,unknown,317,yes
70,retired,primary,4531,no,no,-1,0,unknown,445,no
65,retired,primary,1840,no,no,188,5,failure,383,no
56,blue-collar,secondary,345,yes,no,-1,0,unknown,605,no
35,blue-collar,secondary,1287,yes,no,-1,0,unknown,330,no
56,management,unknown,353,no,yes,-1,0,unknown,171,no
56,technician,secondary,205,no,yes,-1,0,unknown,442,no
49,entrepreneur,secondary,687,yes,no,-1,0,unknown,772,yes
38,unemployed,primary,1147,yes,yes,-1,0,unknown,249,no
35,management,tertiary,4286,yes,no,-1,0,unknown,357,no
38,admin.,tertiary,605,no,no,-1,0,unknown,147,no
49,blue-collar,secondary,8545,yes,yes,167,1,failure,199,no
55,management,unknown,559,no,no,-1,0,unknown,271,no
43,blue-collar,primary,2,yes,no,-1,0,unknown,783,no
43,management,tertiary,2,no,yes,-1,0,unknown,472,no
25,admin.,tertiary,760,yes,no,89,2,failure,223,yes
30,blue-collar,primary,1317,yes,no,-1,0,unknown,395,no
46,blue-collar,secondary,182,no,no,-1,0,unknown,56,no
50,admin.,primary,276,no,yes,-1,0,unknown,641,no
35,entrepreneur,secondary,2971,no,no,164,2,failure,429,yes
26,unemployed,secondary,1064,no,no,-1,0,unknown,113,no
45,admin.,unknown,1783,no,no,-1,0,unknown,11,no
37,blue-collar,secondary,-67,no,no,-1,0,unknown,157,no
60,self-employed,tertiary,179,no,yes,-1,0,unknown,79,no
38,management,tertiary,1199,no,no,1,1,success,178,yes
47,blue-collar,primary,214,yes,yes,-1,0,unknown,168,no
33,technician,secondary,6699,no,no,462,1,failure,425,no
51,unemployed,secondary,1760,no,yes,-1,0,unknown,162,no
35,entrepreneur,tertiary,145,yes,no,-1,0,unknown,799,yes
35,unemployed,secondary,978,no,no,209,3,success,1370,yes
48,admin.,secondary,1150,yes,no,-1,0,unknown,357,no
37,admin.,secondary,121,no,no,-1,0,unknown,22,no
29,technician,tertiary,828,yes,no,321,3,other,215,no
34,admin.,secondary,244,yes,no,-1,0,unknown,56,no
32,services,primary,228,yes,no,-1,0,unknown,1017,yes
30,management,tertiary,424,no,no,-1,0,unknown,298,yes
47,management,tertiary,447,no,yes,-1,0,unknown,126,no
33,blue-collar,primary,-195,no,no,-1,0,unknown,9,no
33,management,tertiary,1410,yes,no,254,5,failure,8,no
63,retired,primary,1084,no,no,183,1,success,201,no
51,self-employed,primary,10924,no,no,-1,0,unknown,106,no
41,management,tertiary,832,yes,yes,176,1,failure,164,no
56,retired,tertiary,478,no,no,-1,0,unknown,97,no
60,management,tertiary,0,no,yes,-1,0,unknown,151,no
41,self-employed,tertiary,3950,yes,no,-1,0,unknown,96,no
37,management,unknown,504,yes,no,-1,0,unknown,555,no
36,blue-collar,secondary,219,yes,yes,347,1,failure,270,no
57,management,tertiary,1602,no,no,-1,0,unknown,339,no
55,management,primary,2587,no,no,94,2,success,328,yes
44,admin.,secondary,0,yes,yes,-1,0,unknown,159,no
47,self-employed,tertiary,2303,yes,no,364,1,failure,323,no
31,blue-collar,secondary,1660,yes,no,-1,0,unknown,342,no
35,management,tertiary,32,yes,no,-1,0,unknown,180,no
39,management,tertiary,278,no,yes,-1,0,unknown,60,no
50,management,tertiary,4,no,no,96,2,failure,223,no
29,management,tertiary,318,yes,no,356,4,failure,1434,no
30,services,secondary,209,yes,no,-1,0,unknown,30,no
46,services,secondary,271,yes,no,-1,0,unknown,134,no
27,management,unknown,3196,no,no,-1,0,unknown,10,no
48,admin.,secondary,4099,no,no,-1,0,unknown,397,yes
26,student,secondary,2572,yes,no,-1,0,unknown,620,no
36,management,tertiary,339,no,no,-1,0,unknown,6,no
42,blue-collar,primary,0,yes,yes,-1,0,unknown,209,no
50,housemaid,primary,395,yes,no,-1,0,unknown,419,no
49,blue-collar,secondary,2039,yes,no,-1,0,unknown,283,no
45,management,tertiary,5450,no,no,-1,0,unknown,188,no
23,student,secondary,780,no,no,-1,0,unknown,267,no
38,technician,secondary,0,yes,no,-1,0,unknown,196,no
32,management,tertiary,8436,yes,no,149,2,failure,245,no
60,technician,primary,11262,no,no,-1,0,unknown,323,yes
30,entrepreneur,secondary,946,yes,no,183,1,other,1065,no
58,housemaid,tertiary,497,no,no,-1,0,unknown,138,no
60,retired,primary,55,no,no,-1,0,unknown,207,no
38,services,secondary,-140,no,no,-1,0,unknown,456,no
51,technician,secondary,-379,yes,no,-1,0,unknown,261,no
42,admin.,secondary,-396,yes,no,308,4,failure,80,no
30,services,secondary,0,yes,no,363,9,failure,131,no
40,management,primary,733,yes,no,-1,0,unknown,94,no
37,management,tertiary,393,yes,no,275,4,failure,567,yes
53,technician,primary,7290,yes,no,-1,0,unknown,153,no
27,services,secondary,468,yes,no,-1,0,unknown,109,no
39,blue-collar,secondary,0,yes,no,325,1,failure,53,no
39,blue-collar,primary,3705,yes,no,-1,0,unknown,77,no
59,retired,tertiary,9676,no,no,-1,0,unknown,234,yes
37,services,secondary,1328,yes,no,341,4,failure,121,no
41,blue-collar,primary,8,yes,no,-1,0,unknown,155,no
45,blue-collar,primary,61,no,no,-1,0,unknown,108,no
48,management,tertiary,6613,no,no,-1,0,unknown,159,no
48,technician,secondary,302,yes,no,-1,0,unknown,208,no
32,blue-collar,secondary,1005,no,no,-1,0,unknown,215,no
35,services,secondary,109,yes,no,-1,0,unknown,597,no
33,management,tertiary,1240,yes,no,260,1,other,505,no
28,blue-collar,primary,0,yes,yes,-1,0,unknown,380,no
64,retired,unknown,2923,no,no,-1,0,unknown,120,no
35,technician,secondary,0,no,no,-1,0,unknown,106,no
33,blue-collar,secondary,43,yes,no,358,2,failure,332,no
41,technician,secondary,288,yes,no,-1,0,unknown,221,no
34,admin.,secondary,613,yes,no,-1,0,unknown,80,no
37,technician,tertiary,6101,no,no,87,1,success,60,no
38,blue-collar,primary,168,yes,yes,-1,0,unknown,212,no
39,blue-collar,primary,7685,yes,no,-1,0,unknown,493,no
35,technician,tertiary,4515,yes,no,-1,0,unknown,98,no
28,blue-collar,secondary,517,no,yes,-1,0,unknown,681,yes
27,blue-collar,secondary,148,no,no,-1,0,unknown,203,no
48,retired,primary,-285,no,yes,-1,0,unknown,157,no
50,blue-collar,secondary,887,no,no,-1,0,unknown,287,no
45,self-employed,secondary,3098,yes,no,-1,0,unknown,159,no
41,technician,tertiary,744,yes,no,-1,0,unknown,125,no
39,technician,secondary,130,no,no,-1,0,unknown,202,no
44,management,secondary,438,yes,no,303,1,failure,37,no
54,admin.,secondary,0,no,no,98,2,failure,161,yes
49,management,tertiary,322,no,no,-1,0,unknown,72,no
34,blue-collar,secondary,186,no,no,-1,0,unknown,342,no
75,retired,tertiary,3810,yes,no,183,1,failure,262,yes
42,management,tertiary,0,no,no,-1,0,unknown,325,no
53,blue-collar,secondary,4380,no,no,-1,0,unknown,223,no
49,management,tertiary,755,no,no,-1,0,unknown,1212,yes
31,services,secondary,2070,no,no,-1,0,unknown,319,no
45,blue-collar,primary,999,no,no,-1,0,unknown,182,no
39,self-employed,secondary,167,yes,yes,-1,0,unknown,330,no
46,technician,secondary,1322,yes,yes,-1,0,unknown,514,no
42,admin.,secondary,1076,yes,no,-1,0,unknown,213,no
37,management,tertiary,502,yes,no,351,1,failure,551,no
26,technician,tertiary,1216,yes,no,-1,0,unknown,472,no
37,management,tertiary,876,yes,no,327,2,failure,140,no
36,services,secondary,342,yes,no,-1,0,unknown,142,no
29,blue-collar,primary,950,yes,no,-1,0,unknown,135,no
36,blue-collar,primary,973,yes,yes,-1,0,unknown,293,no
26,technician,tertiary,3825,yes,no,-1,0,unknown,107,no
32,blue-collar,secondary,2366,yes,no,-1,0,unknown,127,no
40,management,tertiary,542,yes,no,-1,0,unknown,1816,no
53,management,primary,995,no,no,-1,0,unknown,200,no
29,management,tertiary,20,yes,no,-1,0,unknown,418,no
34,technician,tertiary,228,yes,no,-1,0,unknown,387,no
43,blue-collar,secondary,130,no,no,337,3,failure,156,no
56,management,tertiary,217,no,yes,-1,0,unknown,121,no
55,entrepreneur,tertiary,0,no,no,-1,0,unknown,108,no
31,self-employed,tertiary,259,yes,no,-1,0,unknown,47,no
27,admin.,secondary,619,yes,no,322,4,other,16,no
36,management,secondary,644,yes,no,-1,0,unknown,54,no
44,management,tertiary,22,yes,no,-1,0,unknown,265,no
37,admin.,tertiary,4303,yes,no,-1,0,unknown,168,no
30,admin.,secondary,239,yes,no,-1,0,unknown,115,no
42,technician,secondary,275,no,no,-1,0,unknown,31,no
30,management,tertiary,1221,yes,no,-1,0,unknown,279,yes
62,retired,secondary,816,no,no,-1,0,unknown,28,no
24,blue-collar,secondary,1222,yes,no,-1,0,unknown,369,no
31,technician,secondary,2363,yes,no,-1,0,unknown,247,no
66,retired,tertiary,2262,no,no,-1,0,unknown,155,no
47,admin.,secondary,2,no,no,-1,0,unknown,89,no
39,entrepreneur,tertiary,2,yes,no,-1,0,unknown,180,no
35,technician,secondary,4508,yes,no,-1,0,unknown,854,yes
35,admin.,secondary,-402,yes,no,-1,0,unknown,46,no
27,technician,secondary,1577,yes,yes,-1,0,unknown,266,no
32,blue-collar,secondary,34,yes,no,-1,0,unknown,321,no
44,management,tertiary,795,no,no,-1,0,unknown,99,no
42,blue-collar,secondary,117,yes,no,-1,0,unknown,147,no
34,self-employed,tertiary,5462,no,no,-1,0,unknown,430,yes
25,services,secondary,402,no,yes,-1,0,unknown,264,no
40,technician,secondary,641,no,no,-1,0,unknown,156,no
43,management,tertiary,36,no,no,102,2,failure,118,no
55,unemployed,tertiary,383,no,no,-1,0,unknown,343,no
50,blue-collar,secondary,283,yes,no,-1,0,unknown,226,no
45,management,tertiary,0,no,no,-1,0,unknown,5,no
35,blue-collar,secondary,3102,yes,no,-1,0,unknown,138,no
32,blue-collar,secondary,889,yes,no,99,5,success,185,yes
59,housemaid,secondary,0,no,no,99,4,failure,722,no
34,self-employed,secondary,-370,yes,no,-1,0,unknown,748,no
39,management,tertiary,-606,yes,no,-1,0,unknown,142,no
